date,nav
2020-12-11,1.4785830405201332
2020-12-14,1.5197674147035465
2020-12-15,1.5378792010594522
2020-12-16,1.530615387475112
2020-12-17,1.54802673652826
2020-12-18,1.5590066660086532
2020-12-21,1.62998657764938
2020-12-22,1.5906422358893386
2020-12-23,1.6459152204473815
2020-12-24,1.6319689449869044
2020-12-25,1.6833676200559535
2020-12-28,1.6935867800332298
2020-12-29,1.6366566145514856
2020-12-30,1.6665329063129997
2020-12-31,1.7387933522075874
2021-01-04,1.8184255485769758
2021-01-05,1.8369014776207675
2021-01-06,1.849417994890028
2021-01-07,1.9045347982400136
2021-01-08,1.854447537149925
2021-01-11,1.8322728249771985
2021-01-12,1.8760309888835203
2021-01-13,1.8832011860262745
2021-01-14,1.8170191784749814
2021-01-15,1.8286157272237091
2021-01-18,1.8635535263750147
2021-01-19,1.8067513434529363
2021-01-20,1.8564352510792246
2021-01-21,1.9037922998170709
2021-01-22,1.946804142572832
2021-01-25,1.9790546953430004
2021-01-26,1.9146273853272138
2021-01-27,1.9194158526363676
2021-01-28,1.8412272827858303
2021-01-29,1.8468779716846175
2021-02-01,1.8387441078966833
2021-02-02,1.9171857003031079
2021-02-03,1.9354871524134227
2021-02-04,1.895060105552348
2021-02-05,1.8452517747508308
2021-02-08,1.885037844038737
2021-02-09,1.9577059242117656
2021-02-10,1.99700547354932
2021-02-18,2.009020353755841
2021-02-19,1.9364154936505733
2021-02-22,1.860890952960798
2021-02-23,1.837619977177266
2021-02-24,1.7308215501443192
2021-02-25,1.7257620575847699
2021-02-26,1.679491823630503
2021-03-01,1.7267923166167527
2021-03-02,1.6961241549985546
2021-03-03,1.7271547475105598
2021-03-04,1.6353523282557934
2021-03-05,1.6354821181231154
2021-03-08,1.6356119182912205
2021-03-09,1.6357417287609262
2021-03-10,1.63587154953305
2021-03-11,1.63600138060841
2021-03-12,1.6361312219878235
2021-03-15,1.6241791695823289
2021-03-16,1.6202208257822368
2021-03-17,1.6536462928193352
2021-03-18,1.6724855289065448
2021-03-19,1.6299704055827327
2021-03-22,1.666723350692399
2021-03-23,1.5953534353374994
2021-03-24,1.526097476611209
2021-03-25,1.5374757847282332
2021-03-26,1.6135711160863593
2021-03-29,1.6164390825173587
2021-03-30,1.6446142607779735
2021-03-31,1.6456757744020365
2021-04-01,1.6586504090808727
2021-04-02,1.6594818941483853
2021-04-06,1.6838132193652458
2021-04-07,1.701167899384109
